Country Name,Country Code,Year,gdp,pop,medal number
Australia,AUS,1960,18606786874.0,10276477.0,36.0
"Venezuela, RB",VEN,1960,7779090909.0,8141839.0,1.0
United States,USA,1960,543300000000.0,180671000.0,112.0
Turkey,TUR,1960,13995067818.0,27472339.0,9.0
Sweden,SWE,1960,15822585034.0,7484656.0,7.0
Pakistan,PAK,1960,3749265015.0,44988690.0,14.0
Norway,NOR,1960,5163271598.0,3581239.0,2.0
Mexico,MEX,1960,13040000000.0,37771861.0,1.0
Morocco,MAR,1960,2037150716.0,12328532.0,1.0
Japan,JPN,1960,44307342950.0,93216000.0,29.0
New Zealand,NZL,1960,5485854792.0,2371800.0,3.0
India,IND,1960,37029883875.0,450547675.0,13.0
Italy,ITA,1960,40385288344.0,50199700.0,88.0
Belgium,BEL,1960,11658722591.0,9153489.0,4.0
Canada,CAN,1960,40461721693.0,17909009.0,9.0
Spain,ESP,1960,12072126075.0,30455000.0,14.0
Austria,AUT,1960,6592693841.0,7047539.0,3.0
France,FRA,1960,62225478001.0,46621688.0,11.0
United Kingdom,GBR,1960,73233967692.0,52400000.0,28.0
Ghana,GHA,1960,1217230038.0,6635229.0,1.0
Finland,FIN,1960,5224102196.0,4429634.0,6.0
Japan,JPN,1964,81749006382.0,96903000.0,64.0
United States,USA,1964,685800000000.0,191889000.0,150.0
Turkey,TUR,1964,11177777778.0,30244258.0,6.0
Sweden,SWE,1964,22532416750.0,7661354.0,15.0
Pakistan,PAK,1964,5204955901.0,49627623.0,16.0
New Zealand,NZL,1964,7274144351.0,2585400.0,6.0
Mexico,MEX,1964,20080000000.0,42771077.0,1.0
"Korea, Rep.",KOR,1964,3458939358.0,27984155.0,3.0
Kenya,KEN,1964,998759333.6,9222692.0,1.0
Italy,ITA,1964,63175417019.0,51675350.0,50.0
France,FRA,1964,94007851047.0,49230585.0,31.0
India,IND,1964,56480289941.0,488848139.0,15.0
Ghana,GHA,1964,1731296119.0,7524470.0,1.0
United Kingdom,GBR,1964,94407558351.0,54000000.0,28.0
Finland,FIN,1964,7766655086.0,4548543.0,5.0
Canada,CAN,1964,49377522897.0,19325000.0,5.0
Brazil,BRA,1964,20963733695.0,81064572.0,12.0
Belgium,BEL,1964,15960106681.0,9378113.0,3.0
Australia,AUS,1964,23801097547.0,11167000.0,42.0
Argentina,ARG,1964,25605249382.0,21824427.0,1.0
Ireland,IRL,1964,2766608946.0,2866550.0,1.0
"Korea, Rep.",KOR,1968,6119284294.0,30838302.0,2.0
Mexico,MEX,1968,29360000000.0,48431971.0,9.0
Norway,NOR,1968,10159934137.0,3816486.0,6.0
New Zealand,NZL,1968,5180597621.0,2748100.0,7.0
Pakistan,PAK,1968,8041999160.0,55102690.0,13.0
United States,USA,1968,942500000000.0,200706000.0,149.0
Tunisia,TUN,1968,1214666667.0,4845220.0,2.0
Turkey,TUR,1968,17500000000.0,33256465.0,2.0
Uganda,UGA,1968,1037815126.0,8841156.0,2.0
"Venezuela, RB",VEN,1968,10034444444.0,10702281.0,1.0
Kenya,KEN,1968,1353295458.0,10539909.0,12.0
